Name,WebsiteKey,Email
(Kasual)Kicks Soccer Club,kasualkicks,lilksim@bu.edu
180 Degrees Consulting,180-degrees-consulting,boston@180dc.org
Accounting Association,accounting-association,buaa@bu.edu
AdClub,adclub,buadclub@bu.edu
Adopted and Multicultural Student Organization,adoptedandmulticulturalstudentalliance,amsa.bostonu@gmail.com
African Students Organization,african-students-organization,buaso@bu.edu
Afrithms,afrithms,afrithms@bu.edu
After School Newsletter,buas,buafterschool@163.com
Ahlul-Bayt Student Association at Boston University,absanetwork,absa.bostonu@gmail.com
Albanian Student Association,asa,begollia@bu.edu
Alianza Latina,alianza-latina,AlianzaL@bu.edu
Alliance of Portuguese Speakers,aps,cagomes@bu.edu
Alpha Chi Sigma,alpha-chi-sigma,jsenel@bu.edu
Alpha Kappa Psi,alpha-kappa-psi,akpsi.nu.chapter@gmail.com
Alpha Phi Omega,alpha-phi-omega,president.buapo@gmail.com
Alpha Sigma Kappa - Women in Technical Studies,ask,bualphasigmakappa@gmail.com
Alternative Investments Group,buaig,buaig@bu.edu
Alzheimer's Buddies,alzheimersbuddies,bu@alzbuddies.org
American Cancer Society on Campus,colleges-against-cancer,relaybu@gmail.com
American Institute of Aeronautics & Astronautics,american-institute-of-aeronautics-astronautics,aiaa@bu.edu
American Society of Biochemistry and Molecular Biology,american-society-of-bmb,asbmbu@bu.edu
American Society of Mechanical Engineers,american-society-of-mechanical-engineers,asme@bu.edu
Anthropology In The Works,anthropology-in-the-works,aitw@bu.edu
Arab Student Organization,arabs,arabsbu@gmail.com
Arab Students in Business at BU,bostonuniversityarabstudentsinbusiness,asb.bostonu@gmail.com
Archaeology Society,archaeology-society,aegreen@bu.edu
"Arché, Boston University's Student-Led Journal of Philosophy",arche,arche@bu.edu
Armenian Students Association,armenian-students-association,asa@bu.edu
Art for the Heart,artfortheheart,artheart@bu.edu
Art History Association,art-history-association,aha@bu.edu
Artificial Intelligence Society,aisociety,buais@bu.edu
Asian Student Union,asian-student-union,buasu@bu.edu
Association for Women in Mathematics: Student Chapter,buawm,buawmchapter@gmail.com
Association of Latino Professionals for America,alpfa,alpfa@bu.edu
Astronomical Society,astronomical-society,buastro@bu.edu
Autism Spectrum Awareness Association,autismspectrumawarenessassociation,asaa@bu.edu
Automotive Club,buautomotiveclub,autoclub@bu.edu
Baja - Society of Automotive Engineers,baja-sae,saebaja@bu.edu
Bangladeshi Students' Association,bangladeshi-students-association,bubangla@gmail.com
Barbell Club,bubarbell,Miaheim@bu.edu
Best Buddies,best-buddies,buddies@bu.edu
Beta Psi Omega,bpsio,bpsio@bu.edu
Biology and Business Club,biobiz,adwax@bu.edu
Biomedical Engineering Society,biomedical-engineering-society,bmes.bu@gmail.com
BIPOC Mental Health Collective,bipocmhc,cavelles@bu.edu
Black Business Student Association,black-business-student-association,bbsa@bu.edu
